School,Number of courses taken
CUHK,7
CUHK,8
CUHK,6
CUHK,6
CUHK,7
CUHK,6
CUHK,6
CUHK,7
CUHK,5
CUHK,6
CUHK,6
CUHK,5
CUHK,7
CUHK,7
CUHK,6
CUHK,5
CUHK,6
CUHK,6
CUHK,6
CUHK,8
CUHK,5
CUHK,6
CUHK,6
CUHK,6
CUHK,6
CUHK,7
CUHK,6
CUHK,6
CUHK,6
CUHK,5
ZJU,13
ZJU,15
ZJU,12
ZJU,13
ZJU,13
ZJU,9
ZJU,16
ZJU,12
ZJU,13
ZJU,6
ZJU,11
ZJU,13
ZJU,10
ZJU,12
ZJU,11
ZJU,7
ZJU,12
ZJU,13
ZJU,11
ZJU,13
ZJU,13
ZJU,14
ZJU,11
ZJU,12
ZJU,14
ZJU,12
ZJU,13
ZJU,13
ZJU,10
ZJU,14
